0,101,2016,0,113,2017,0,122,2018,0,131,2019,0,177,2020,0,90,total
50,1,,51,1,,65,1,,63,1,,57,1,,71,1,
80,1,,89,1,,95,1,,99,1,,129,1,,80,1,
89,1,,91,1,,100,1,,103,1,,134,1,,99,1,
93,1,,97,1,,110,1,,105,1,,138,1,,106,1,
99,1,,109,1,,111,1,,110,1,,159,2,,107,1,
103,1,,110,1,,119,2,,111,1,,175,1,,112,1,
106,1,,115,1,,121,1,,113,2,,179,2,,113,2,
107,1,,117,1,,123,3,,116,1,,,,,114,1,
111,1,,120,2,,124,1,,118,1,,,,,116,1,
112,2,,122,1,,125,1,,122,1,,,,,120,1,
113,2,,124,1,,126,1,,124,1,,,,,122,1,
114,2,,125,1,,131,2,,126,2,,,,,125,1,
116,1,,126,2,,133,1,,129,1,,,,,135,2,
119,2,,129,2,,139,1,,130,1,,,,,137,3,
121,1,,136,1,,140,1,,138,2,,,,,140,1,
125,1,,137,2,,142,1,,139,1,,,,,141,1,
127,1,,138,1,,145,2,,141,1,,,,,142,2,
128,1,,139,1,,146,1,,143,1,,,,,146,1,
133,1,,141,3,,147,1,,145,1,,,,,147,1,
134,1,,145,2,,148,2,,149,3,,,,,148,2,
135,1,,146,2,,150,1,,151,1,,,,,149,1,
137,1,,148,2,,152,1,,152,3,,,,,150,1,
138,1,,149,1,,153,2,,156,1,,,,,151,1,
139,1,,150,3,,155,1,,157,1,,,,,152,1,
140,1,,153,1,,157,1,,158,1,,,,,153,1,
141,5,,154,2,,159,2,,159,3,,,,,155,2,
142,1,,155,1,,160,1,,160,1,,,,,156,1,
144,2,,156,1,,161,1,,161,1,,,,,158,3,
145,1,,157,1,,163,2,,162,2,,,,,159,3,
150,3,,159,1,,164,2,,165,1,,,,,160,1,
151,4,,160,3,,165,1,,168,1,,,,,161,1,
153,1,,161,2,,166,1,,170,1,,,,,162,1,
154,1,,162,1,,169,1,,172,1,,,,,163,1,
155,4,,163,1,,171,1,,173,1,,,,,164,1,
156,1,,164,1,,172,1,,174,1,,,,,165,1,
157,3,,165,2,,173,1,,177,1,,,,,166,1,
159,1,,166,1,,174,2,,178,1,,,,,167,2,
160,2,,170,2,,176,1,,179,1,,,,,168,2,
162,1,,173,2,,177,1,,180,1,,,,,169,3,
164,1,,175,1,,178,1,,181,2,,,,,171,3,
165,3,,176,2,,179,1,,182,1,,,,,172,3,
166,1,,178,3,,180,2,,184,2,,,,,173,2,
167,1,,179,2,,181,3,,185,2,,,,,174,4,
168,2,,181,1,,182,1,,,,,,,,175,1,
169,1,,182,4,,183,2,,,,,,,,176,2,
172,1,,183,1,,184,2,,,,,,,,177,3,
174,2,,184,3,,185,3,,,,,,,,178,1,
175,2,,,,,,,,,,,,,,179,5,
176,1,,,,,,,,,,,,,,181,3,
178,1,,,,,,,,,,,,,,182,4,
179,1,,,,,,,,,,,,,,183,2,
180,5,,,,,,,,,,,,,,184,5,
181,1,,,,,,,,,,,,,,185,5,
182,1,,,,,,,,,,,,,,,,
183,1,,,,,,,,,,,,,,,,
184,1,,,,,,,,,,,,,,,,
185,1,,,,,,,,,,,,,,,,
