,name,in_degree,name,out_degree,name,cluster_coe,name,totalExportValue,name,totalImportValue,name,selectedExportValue,name,selectedImportValue
0,Thailand,185,Turkey,86,Turkmenistan,1,China,1.70242E+12,European Union,1.3294E+12,United States of America,5216736610,Mexico,1600839791
1,Canada,184,United States of America,86,Samoa,0.951587302,United States of America,1.11183E+12,Canada,3.71354E+11,Mexico,1425525360,European Union,464104830
2,Singapore,183,Pakistan,86,Tonga,0.945,Japan,4.11982E+11,"Korea, Republic of",3.34617E+11,Brazil,1067251155,Indonesia,227914405
3,China,182,Viet Nam,86,Vanuatu,0.943850267,Germany,3.19845E+11,"Hong Kong, China",2.89946E+11,Australia,650738579,Colombia,110187528
4,Mexico,181,Netherlands,85,Papua New Guinea,0.934756098,"Korea, Republic of",3.13495E+11,China,2.87925E+11,China,374386704,Panama,93337421
5,South Africa,180,Poland,85,South Sudan,0.933823529,Australia,2.1908E+11,Thailand,1.84024E+11,Chile,314667842,Costa Rica,91132022
6,India,180,South Africa,85,Central African Republic,0.931372549,Chinese Taipei,2.11273E+11,Mexico,1.34263E+11,Guatemala,225253731,"Macao, China",28643804
7,"Korea, Republic of",180,Spain,85,Kyrgyz Republic,0.930241327,Thailand,1.77888E+11,Singapore,1.06387E+11,Costa Rica,195886535,Nicaragua,20909890
8,Chinese Taipei,180,Thailand,85,Saint Lucia,0.929924242,Malaysia,1.7624E+11,Switzerland,91277835470,Turkey,165965916,Ghana,12888145
9,New Zealand,180,United Kingdom,85,Sao Tomé and Principe,0.929411765,India,1.4485E+11,Japan,88988128601,Peru,149463401,Antigua and Barbuda,12571240
